game_id,play_id,absolute_yardline,play_direction,ball_land_x,ball_land_y,num_frames,quarter,game_clock,down,yards_to_go,play_description,play_type,scoring_play,home_team,away_team,stadium,home_score,away_score,match_confidence
2023090700,101,42,right,63.2599983215332,-0.219999998807907,21,1,14:29,2,3,J.Goff pass incomplete short right.,Pass Incompletion,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.9
2023090700,194,89,left,84.9400024414062,21.75,9,1,12:56,3,2,(Shotgun) P.Mahomes pass short left to J.McKinnon to KC 31 for 10 yards (M.Rodriguez).,Pass Reception,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,219,79,left,75.8499984741211,11.4899997711182,8,1,12:20,1,10,(Shotgun) P.Mahomes pass short left to N.Gray to KC 36 for 5 yards (A.Anzalone).,Pass Reception,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,361,22,right,26.1000003814697,49.1800003051758,16,1,10:10,2,7,(Shotgun) J.Goff pass incomplete short left to M.Jones (M.Danna).,Pass Incompletion,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,436,31,right,34.8899993896484,34.8199996948242,7,1,8:09,2,9,(Shotgun) J.Goff pass short left to A.St. Brown to DET 34 for 13 yards (J.Reid).,Pass Reception,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,461,44,right,55.9099998474121,18.8299999237061,10,1,14:25,3,3,(Shotgun) J.Goff pass incomplete deep right to J.Reynolds.,Pass Incompletion,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7999999999999999
2023090700,530,86,right,88.6900024414062,15.1300001144409,8,1,5:34,1,10,(Shotgun) J.Goff pass short right to A.St. Brown to KC 19 for 5 yards (L.Chenal; L.Sneed).,Pass Reception,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,621,101,right,102.919998168945,18.2700004577637,7,1,3:37,2,6,"J.Gibbs right guard to KC 9 for no gain (B.Cook, L.Sneed).",Rush,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,713,83,left,79.9100036621094,8.97000026702881,8,1,12:20,1,10,(Shotgun) P.Mahomes pass short left to N.Gray to KC 36 for 5 yards (A.Anzalone).,Pass Reception,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,0,0.7
2023090700,736,83,left,68.4700012207031,40.4500007629395,15,1,2:11,2,8,(Shotgun) P.Mahomes pass incomplete short left to N.Gray (A.Anzalone).,Pass Incompletion,False,Kansas City Chiefs,Detroit Lions,GEHA Field at Arrowhead Stadium,0,7,0.7
